time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,V_SidePalm[mV],V_ThumpPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thump[mV],CalF1,CalF2,CalF3,CalF4,CalF5,CalF6
90.0981533,90.6578133,-0.2876095000000265,0.3243685000000424,7.647210000000013,-0.0212715003974638,0.4097765291305363,7.804865304589134,-0.0475204399999998,-0.2229956000000012,-0.0010165199999994,7.815644036375676,1.0,0.0,0.0,0.0,0.0,3505.38,0.0,0.0,0.0,0.0,0.0,5.021610540805307,0.0
90.2091121,90.7687721,-0.1026095000000264,0.3543685000000425,7.677210000000012,-0.0407159367564997,0.3965308395208604,7.774348381894882,-0.0483204399999998,-0.2217956000000012,-0.0026165199999994,7.784560826229611,1.0,0.0,0.0,0.0,0.0,3504.89,0.0,0.0,0.0,0.0,0.0,5.017425841161332,0.0
90.3195654,90.8792254,-0.0176095000000264,0.3543685000000425,7.687210000000012,-0.0351921761379612,0.3864516276940825,7.753517322249166,-0.0475204399999998,-0.2213956000000012,-0.0010165199999994,7.763221896624275,1.0,0.49,0.0,0.0,0.0,3506.84,0.0,0.06888849700996072,0.0,0.0,0.0,5.034127420643908,0.0
90.4390875,90.9987475,-0.2076095000000264,0.2443685000000424,7.747210000000012,-0.0764097828828114,0.3524856296656223,7.752009511303865,-0.0475204399999998,-0.2253956000000012,-0.0014165199999994,7.760395353162528,1.0,0.0,0.49,0.0,0.0,3506.35,0.0,0.0,0.011651945950198108,0.0,0.0,5.029918480220841,0.0
90.5490871,91.1087471,-0.2376095000000266,0.3043685000000424,7.862210000000013,-0.1149457397036812,0.3409828822396533,7.778353734172107,-0.0479204399999998,-0.2281956000000012,-0.0018165199999994,7.786672502614043,1.0,0.0,0.98,0.0,0.0,3509.29,0.0,0.0,0.01848689997937752,0.0,0.0,5.05529547372444,0.0
90.6611591,91.2208191,-0.0626095000000264,0.3543685000000425,7.767210000000012,-0.102434383545902,0.3441828108577658,7.775689744020271,-0.0487204399999998,-0.2225956000000012,-0.0022165199999994,7.783977492611628,1.0,0.0,0.0,0.0,0.0,3510.75,0.49,0.0,0.0,0.0,0.0,5.0680086184256465,0.010559978205206303
90.7716458,91.3313058,-0.0626095000000264,0.3743685000000425,7.707210000000013,-0.092913957454806,0.3513989178968938,7.759319166541217,-0.0471204399999998,-0.2209956000000012,-0.0022165199999994,7.767827761430019,1.0,0.0,0.0,0.0,0.0,3507.33,0.0,0.0,0.0,0.0,0.0,5.038344549011286,0.0
90.8824238,91.4420838,-0.0876095000000267,0.3893685000000424,7.707210000000013,-0.0916458885829054,0.3604758207761306,7.74686209386321,-0.0467204399999998,-0.2217956000000012,-0.0002165199999994,7.755785845908398,1.0,0.0,0.0,0.0,0.0,3505.38,0.0,0.0,0.0,0.0,0.0,5.021610540805307,0.0
90.9941056,91.5537656,-0.0126095000000265,0.3343685000000425,7.912210000000013,-0.0727516689640669,0.3542346771554853,7.786389705234114,-0.0491204399999998,-0.2269956000000012,-0.0030165199999994,7.794782848393681,1.0,0.0,0.0,0.49,0.0,3509.78,0.0,0.0,0.0,0.00754893254491928,0.0,5.059553941713522,0.0
91.1040852,91.6637452,-0.2276095000000264,0.4093685000000424,8.332210000000014,-0.1097715521058964,0.3674148157717486,7.916871989491218,-0.0519204399999998,-0.2397956000000012,-0.0022165199999994,7.926153262364473,1.0,0.0,0.0,0.0,0.0,3517.11,0.0,0.0,0.0,0.0,0.0,5.124269068346866,0.0
91.2141269,91.7737869,-0.1576095000000266,0.3793685000000424,8.502210000000012,-0.1212075591126999,0.3702724303352834,8.056801269157255,-0.0527204399999998,-0.2449956000000012,-0.0026165199999994,8.066215942791663,1.0,0.0,0.0,0.0,0.0,3527.86,0.0,0.0,0.0,0.0,0.0,5.2227571370836765,0.0
91.324111,91.883771,-0.3876095000000266,0.2493685000000423,8.422210000000014,-0.1848928674657229,0.3413694724257206,8.14415486583563,-0.0507204399999998,-0.2453956000000012,0.0001834800000005,8.153402784596016,1.0,0.0,0.0,0.0,0.49,3528.35,0.49,0.0,0.0,0.0,0.0035482837879861114,5.227352127902768,0.010559978205206303
91.4349357,91.9945957,-0.2626095000000266,0.3943685000000423,8.737210000000012,-0.2034715898677456,0.3540392728117043,8.28592897965703,-0.0551204399999998,-0.2517956000000012,-0.0038165199999994,8.295984784852038,1.0,0.0,0.49,0.0,0.0,3530.3,0.0,0.0,0.011651945950198108,0.0,0.0,5.2457324994395504,0.0
91.5449202,92.1045802,-0.0476095000000267,0.4393685000000424,8.787210000000012,-0.1662116313978091,0.3744378409561941,8.405763828628956,-0.0547204399999998,-0.2517956000000012,-0.0042165199999994,8.415740938612522,1.0,0.0,0.0,0.0,0.0,3529.81,0.0,0.0,0.0,0.0,0.0,5.241099616364495,0.0
91.6549472,92.2146072,-0.1476095000000263,0.2893685000000423,8.607210000000013,-0.1617646575126139,0.3541014004928254,8.453920991063924,-0.0531204399999998,-0.2477956000000012,-0.0026165199999994,8.462879872088603,1.0,0.0,0.0,0.0,0.0,3530.3,0.49,0.0,0.0,0.0,0.0,5.2457324994395504,0.010559978205206303
91.7649449,92.3246049,0.0223904999999735,0.4293685000000424,8.432210000000012,-0.1177410368440658,0.3720945443302501,8.448730821818348,-0.0523204399999998,-0.2425956000000012,-0.0046165199999994,8.457740230180919,1.0,0.0,0.0,0.0,0.0,3525.42,0.0,0.0,0.0,0.0,0.0,5.200015881013716,0.0
91.8749247,92.4345847,-0.1826095000000265,0.2893685000000423,8.282210000000013,-0.133248311546022,0.3523182858523759,8.408922816481088,-0.0499204399999998,-0.2413956000000012,-0.0010165199999994,8.41735506086158,1.0,0.0,0.0,0.0,0.0,3522.97,0.98,0.0,0.0,0.0,0.0,5.177413009332391,0.016211791036059756
91.9857861,92.5454461,-0.1776095000000266,0.3143685000000424,8.177210000000013,-0.1438531740939068,0.3432461154098969,8.35353019389811,-0.0503204399999998,-0.2369956000000012,-0.0018165199999994,8.361816688483925,1.0,0.0,0.0,0.49,0.0,3520.04,0.0,0.0,0.0,0.00754893254491928,0.0,5.150681105456736,0.0
92.0962954,92.6559554,0.0073904999999734,0.3943685000000423,8.097210000000011,-0.107697281276344,0.3554672907343749,8.292254999989476,-0.0503204399999998,-0.2341956000000012,-0.0054165199999994,8.30056917831704,1.0,0.0,0.0,0.49,0.0,3518.08,0.0,0.0,0.0,0.00754893254491928,0.0,5.1329779583734,0.0
92.2077495,92.7674095,0.0673904999999734,0.3043685000000424,8.042210000000011,-0.0658412823962721,0.3432517556915618,8.23247993651426,-0.0503204399999998,-0.2297956000000012,-0.0038165199999994,8.239895797117992,1.0,0.0,0.0,0.0,0.0,3516.62,0.0,0.0,0.0,0.0,0.0,5.119882810688446,0.0
92.3182867,92.8779467,0.1673904999999735,0.3843685000000423,7.972210000000012,-0.0100855400388534,0.3530810104298577,8.170260528101833,-0.0503204399999998,-0.2229956000000012,-0.0034165199999994,8.177892455584317,1.0,0.0,0.0,0.0,0.0,3516.13,0.0,0.0,0.0,0.0,0.0,5.115505293245151,0.0
92.428788,92.988448,0.5023904999999735,0.4743685000000424,8.467210000000012,0.1124255592598284,0.3820756609452163,8.241248444406473,-0.0555204399999998,-0.2321956000000012,-0.0086165199999994,8.250866453863724,1.0,0.0,0.0,0.0,0.0,3518.57,0.0,0.0,0.0,0.0,0.0,5.1373904308466045,0.0
92.5396683,93.0993283,1.0473904999999737,0.6743685000000423,8.507210000000011,0.3359356821664991,0.4519503755309488,8.304828475473844,-0.0603204399999998,-0.2269956000000012,-0.0178165199999994,8.323898601709205,1.0,0.0,0.0,0.0,0.0,3527.86,0.49,0.0,0.0,0.0,0.0,5.2227571370836765,0.010559978205206303
92.6504455,93.2101055,1.1873904999999734,0.7443685000000424,8.397210000000012,0.5394821069477138,0.5218550404999749,8.326912946239991,-0.0619204399999998,-0.2181956000000012,-0.0242165199999994,8.360672989734208,1.0,0.0,0.0,0.0,0.0,3528.35,0.0,0.0,0.0,0.0,0.0,5.227352127902768,0.0
