time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,Ohm_FSR1,Ohm_FSR2
79.3211211,79.9054794,-0.0664739999999994,-0.706569000000034,7.583421000000055,0.3965324464468725,-0.4503981713477011,3.504188443163576,0.0271951200000004,-0.07681736,0.0134490800000007,3.555198044981412,1.0,2757.58,86.02,8131.8402367293065,571260.172053011
79.43110519999999,80.0154635,0.3535260000000004,-0.7865690000000336,5.278421000000055,0.3862514447619215,-0.5307622363042321,3.928331552240597,0.0211951200000004,-0.04961736,0.0150490800000007,3.9827989548050695,1.0,3021.51,88.95,6548.017382037457,552113.5469364811
79.5411232,80.1254815,0.3085260000000005,-0.4965690000000335,-0.321578999999945,0.3676706157332307,-0.5225880961670862,2.9123597350282058,0.0019951200000004,-1.7360000000013996e-05,0.0114490800000007,2.981630296690512,1.0,1939.88,79.18,15774.790193207826,621472.5940894164
79.6512202,80.2355785,0.4485260000000006,-0.3915690000000336,-0.0465789999999449,0.3869996794100201,-0.4912670347974088,2.2050040561982542,0.0003951200000004,-0.00081736,0.0094490800000007,2.29197620825192,1.0,50.34,68.43,983245.9276916964,720673.6811340054
79.76113409999999,80.3454924,0.5335260000000006,-0.2965690000000338,-0.0565789999999449,0.4220278547961504,-0.4447230631562912,1.6643562898185376,-4.879999999594584e-06,-0.00121736,0.0082490800000007,1.773687676166659,1.0,98.24,69.4,498957.654723127,710461.0951008645
79.8714297,80.455788,0.3985260000000004,-0.4065690000000337,1.3034210000000552,0.4164095666388813,-0.4356020587486894,1.578072101531412,0.0007951200000004,-0.00841736,0.0106490800000007,1.6892180553162,1.0,691.59,71.85,62297.170288754896,685894.2240779402
79.98223229999999,80.5665906,0.6985260000000006,-0.0565690000000338,6.293421000000055,0.4838515379331402,-0.3449914680675689,2.7053103175550426,-0.0032048799999995,-0.02841736,0.0078490800000007,2.7698078160893123,1.0,2902.25,86.51,7228.012748729433,567967.8649867068
80.10186979999999,80.6862281,-0.0014739999999995,-0.8065690000000336,9.678421000000055,0.36783096228748,-0.4553349113324177,4.372282797230378,0.0227951200000004,-0.06321736,0.0122490800000007,4.411290781307907,1.0,3311.34,89.44,5099.62734119722,549033.9892665475
80.2119127,80.796271,0.6235260000000005,-0.3465690000000336,2.408421000000055,0.4289567080940654,-0.4293336345458116,3.9028074484294,-0.0016048799999995,-0.00761736,0.0110490800000007,3.949713560080936,1.0,3271.75,89.44,5282.3412546802165,549033.9892665475
80.3227337,80.907092,0.4885260000000007,-0.3915690000000336,-0.0565789999999449,0.4431971776295529,-0.4203057258606256,2.9562875168660976,-4.879999999594584e-06,-0.00121736,0.0078490800000007,3.0187276332634494,1.0,837.24,73.8,49720.032487697674,667506.7750677507
