time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,Ohm_FSR1,Ohm_FSR2,V1thers,V2thers
16.2072231,16.773926,1.0585260000000003,0.4284309999999662,19.48842100000005,0.783057843080244,-0.0688245322435228,11.09034546399241,0.1503951200000004,-0.22201736,0.0242490800000007,11.11816886508498,1.0,199.41,3348.48,240739.68206208316,4932.148318042813,0.0,3348.48
16.3180605,16.8847634,1.1085260000000006,0.9284309999999664,25.31842100000005,0.8608633570471687,0.1695766065250048,14.491669698953553,0.1855951200000004,-0.28641736,0.0246490800000007,14.518206935036972,1.0,205.28,3511.73,233569.75837879968,4237.996656918386,0.0,3511.73
16.4289124,16.9956153,0.9085260000000006,1.3484309999999664,30.22842100000005,0.8722574561414201,0.4513902648703909,18.253653773633616,0.2247951200000004,-0.33721736,0.0210490800000007,18.280056409341377,1.0,210.17,3592.38,227902.65023552364,3918.349395108536,0.0,3592.38
16.540541,17.1072439,1.0235260000000006,1.7784309999999663,35.218421000000056,0.908419294255884,0.7686289386287539,22.30920392597037,0.2615951200000004,-0.39281736,0.0162490800000007,22.340917525249623,1.0,211.14,3635.88,226809.69972530077,3751.8289932561033,0.0,3635.88
16.6514256,17.2181285,1.2285260000000005,0.4084309999999662,36.33342100000005,0.984943114590236,0.6825210194698628,25.66179432300152,0.3123951200000004,-0.39041736,0.0334490800000007,25.689757409462427,1.0,211.63,3681.33,226261.3996125313,3582.0477925097725,0.0,3681.33
16.762233300000002,17.3289362,1.988526000000001,-0.0515690000000337,39.48342100000006,1.224856852839498,0.5070314975350732,28.96595402218821,0.3655951200000004,-0.39601736,0.0438490800000007,28.996272996110413,1.0,214.08,3696.97,223557.54857997008,3524.589055361553,0.0,3696.97
16.873537300000002,17.4402402,1.988526000000001,0.2434309999999662,41.47842100000005,1.4074174789168297,0.4440158944519344,31.95714963842433,0.3747951200000004,-0.42161736,0.0482490800000007,31.991207965425914,1.0,214.08,3712.12,223557.54857997008,3469.392153270908,0.0,3712.12
16.983929200000002,17.5506321,1.4985260000000005,1.3284309999999664,40.46342100000005,1.4291976290142483,0.6554417141036007,33.99063525340173,0.3047951200000004,-0.45081736,0.0314490800000007,34.02698186194543,1.0,215.54,3721.41,221975.50338684235,3435.767625711761,0.0,3721.41
17.0948499,17.6615528,1.4035260000000005,1.4184309999999662,40.25342100000005,1.4230606406565387,0.8378398144346875,35.48779942605211,0.3147951200000004,-0.45161736,0.0266490800000007,35.52620139059821,1.0,215.54,3726.3,221975.50338684235,3418.135952553472,0.0,3726.3
17.2143965,17.7810994,1.4285260000000006,1.3734309999999663,41.40342100000005,1.4243671742872217,0.96587675624628,36.9019714954516,0.3511951200000004,-0.46801736,0.0262490800000007,36.94207953007744,1.0,215.54,3727.76,221975.50338684235,3412.880657553061,0.0,3727.76
