Time, FSR1, FSR2, FSR3, FSR4, FSR5, FSR6, Unit
09:48:12.770 70.99,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.884 70.66,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.999 71.21,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.112 73.42,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.231 72.94,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.344 73.30,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.460 72.82,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.574 73.30,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.689 75.43,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.803 77.32,0.00,0.00,0.00,0.00,0.00,N 
09:48:13.916 78.75,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.030 80.73,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.147 81.20,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.261 79.95,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.375 84.05,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.489 93.16,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.603 128.90,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.717 163.79,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.830 99.57,0.00,0.00,0.00,0.00,0.00,N 
09:48:14.945 58.72,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.059 27.85,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.180 11.50,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.295 2.38,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.409 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.524 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.638 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.752 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.866 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:15.980 4.45,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.095 2.09,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.209 6.91,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.323 8.39,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.437 9.38,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.552 9.65,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.666 9.40,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.780 10.96,0.00,0.00,0.00,0.00,0.00,N 
09:48:16.894 11.61,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.008 12.51,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.122 13.73,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.236 14.55,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.350 14.21,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.464 13.66,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.580 13.74,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.694 14.99,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.809 16.29,0.00,0.00,0.00,0.00,0.00,N 
09:48:17.923 17.31,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.037 19.36,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.151 21.35,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.265 25.29,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.380 30.42,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.494 34.32,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.608 39.05,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.722 40.10,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.836 36.49,0.00,0.00,0.00,0.00,0.00,N 
09:48:18.950 38.13,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.064 40.58,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.178 42.13,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.292 45.76,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.407 47.61,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.520 48.91,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.634 51.26,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.748 53.25,0.00,0.00,0.00,0.00,0.00,N 
09:48:19.862 53.51,0.00,0.00,0.00,0.00,0.00,N 
