Time,Fx,Fy,Fz,Mx,My,Mz
124780,0.0222175,-0.06479,0.0073145,-3.548e-05,-0.00017508,0.00099632
125640,0.0222175,0.03021,-0.0176855,-0.00043548,-0.00057508,0.00139632
126500,-0.0027825,0.04521,0.0323145,-3.548e-05,-0.00017508,0.00179632
127292,-0.0677825,0.00521,0.0373145,-3.548e-05,0.00022492,0.00019632
128186,-0.0177825,0.01021,0.0173145,-3.548e-05,0.00062492,-0.00060368
128977,0.0422175,-0.05479,0.0073145,-3.548e-05,0.00022492,-0.00060368
129812,0.0422175,-0.02979,0.0173145,-3.548e-05,-0.00017508,0.00099632
130633,-0.0027825,0.02021,0.0323145,-3.548e-05,-0.00017508,0.00019632
131477,-0.0877825,-0.02979,0.0223145,-3.548e-05,-0.00017508,0.00019632
132292,-0.0427825,0.02021,0.0223145,-3.548e-05,-0.00017508,-0.00060368
133136,-0.0227825,0.05521,0.0323145,-3.548e-05,0.00022492,-0.00060368
134015,-0.0227825,-0.06479,-0.0026855,-3.548e-05,0.00022492,0.00099632
134811,-0.0177825,-0.03979,-0.0126855,-3.548e-05,0.00022492,0.00059632
135635,-0.0227825,-0.03979,0.0173145,-3.548e-05,-0.00017508,-0.00020368
136519,-0.0027825,-0.02979,0.0173145,-3.548e-05,-0.00017508,0.00019632
137314,-0.0227825,-0.01479,-0.0026855,-3.548e-05,0.00022492,-0.00060368
138138,0.0022175,-0.04979,0.0073145,-3.548e-05,0.00022492,0.00139632
138945,-0.0227825,-0.03979,-0.0126855,-3.548e-05,0.00022492,0.00059632
139796,-0.0227825,0.00521,0.0073145,0.00036452,0.00022492,0.00019632
140728,-0.0627825,-0.03979,-0.0026855,-3.548e-05,0.00022492,0.00059632
141516,0.0222175,-0.01979,0.0023145,-3.548e-05,-0.00017508,-0.00060368
142291,0.172217,-0.00479,0.0173145,0.00036452,-0.00017508,-0.00020368
143136,0.0422175,-0.02979,0.0373145,-3.548e-05,0.00022492,0.00019632
144018,-0.0427825,0.04521,0.0123145,-3.548e-05,-0.00017508,0.00019632
144811,-0.0027825,0.07021,0.0023145,-3.548e-05,0.00022492,0.00059632
145707,-0.0427825,0.02021,0.0273145,-3.548e-05,0.00062492,0.00139632
146476,0.0472175,0.04521,0.0123145,-0.00043548,0.00022492,0.00099632
147299,0.0222175,0.03021,-0.0076855,-3.548e-05,0.00022492,-0.00020368
148112,-0.0627825,-0.01479,0.0273145,-3.548e-05,-0.00017508,0.00019632
149014,-0.0427825,-0.00479,0.0373145,-3.548e-05,-0.00017508,0.00059632
149855,-0.0227825,-0.08979,0.0273145,-3.548e-05,-0.00017508,0.00019632
150639,0.0422175,-0.05479,0.0173145,-3.548e-05,-0.00017508,0.00019632
151443,0.0022175,-0.05479,0.0073145,-3.548e-05,0.00022492,0.00019632
152310,-0.0427825,-0.05479,0.0173145,-3.548e-05,-0.00017508,0.00019632
153141,-0.107783,-0.03979,0.0273145,-3.548e-05,-0.00017508,0.00059632
154001,-0.107783,-0.03979,0.0273145,-3.548e-05,0.00022492,-0.00020368
