Time, FSR1, FSR2, FSR3, FSR4, FSR5, FSR6, Unit
09:47:14.867, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:14.982, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.097, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.211, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.325, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.439, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.554, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.668, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.783, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:15.897, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.011, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.125, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.239, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.353, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.467, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.583, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.697, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.810, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:16.924, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.038, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.153, 0.66,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.266, 8.12,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.382, 11.41,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.497, 14.55,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.611, 17.09,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.725, 20.18,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.839, 20.23,0.00,0.00,0.00,0.00,0.00,N 
09:47:17.953, 21.18,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.067, 22.93,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.183, 25.01,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.297, 28.18,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.412, 31.63,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.526, 32.21,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.640, 33.95,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.754, 37.30,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.869, 41.39,0.00,0.00,0.00,0.00,0.00,N 
09:47:18.984, 42.84,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.099, 43.44,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.213, 44.08,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.329, 44.85,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.443, 45.90,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.557, 47.95,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.671, 49.75,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.786, 49.88,0.00,0.00,0.00,0.00,0.00,N 
09:47:19.900, 49.88,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.014, 49.04,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.128, 49.20,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.242, 48.15,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.356, 39.14,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.470, 24.77,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.584, 14.64,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.698, 7.53,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.812, 3.11,0.00,0.00,0.00,0.00,0.00,N 
09:47:20.926, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.041, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.155, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.269, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.384, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.498, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.612, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.726, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.840, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:21.954, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.068, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.182, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.297, 1.42,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.413, 8.63,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.527, 10.29,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.641, 14.23,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.755, 18.99,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.869, 21.57,0.00,0.00,0.00,0.00,0.00,N 
09:47:22.983, 26.40,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.097, 33.61,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.211, 44.79,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.325, 57.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.439, 69.91,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.553, 76.90,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.667, 79.80,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.781, 84.58,0.00,0.00,0.00,0.00,0.00,N 
09:47:23.895, 81.36,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.009, 74.79,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.123, 71.77,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.237, 72.82,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.351, 75.30,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.465, 83.36,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.579, 87.19,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.693, 82.18,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.817, 83.01,0.00,0.00,0.00,0.00,0.00,N 
09:47:24.933, 83.18,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.047, 84.58,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.161, 83.53,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.275, 91.79,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.389, 120.94,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.503, 46.50,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.619, 14.85,0.00,0.00,0.00,0.00,0.00,N 
