Time,FSR1_mV,FSR2_mV
11:30:27.941,19.55,58.65
11:30:28.052,19.55,58.65
11:30:28.163,19.55,58.65
11:30:28.274,19.55,58.65
11:30:28.385,19.55,58.65
11:30:28.495,27.86,197.46
11:30:28.607,121.21,1716.03
11:30:28.718,166.18,2482.89
11:30:28.829,199.9,3135.39
11:30:28.941,217.01,3544.48
11:30:29.052,224.83,3696.97
11:30:29.164,227.76,3742.91
11:30:29.276,226.78,3761.97
11:30:29.390,227.27,3767.84
11:30:29.502,229.72,3780.06
11:30:29.613,227.76,3778.1
11:30:29.726,229.72,3775.66
11:30:29.837,229.72,3781.52
11:30:29.949,229.23,3785.43
11:30:30.059,229.72,3783.48
11:30:30.171,229.72,3784.95
11:30:30.282,229.72,3791.79
11:30:30.393,229.72,3796.68
11:30:30.505,229.72,3800.1
11:30:30.616,229.72,3806.94
11:30:30.726,229.23,3795.21
11:30:30.837,214.56,3478.01
11:30:30.948,62.56,749.76
11:30:31.059,21.02,91.4
11:30:31.171,19.55,58.65
11:30:31.281,19.55,58.65
11:30:31.392,19.55,58.65
11:30:31.507,19.55,58.65
11:30:31.617,19.55,58.65
11:30:31.729,19.55,58.65
11:30:31.844,19.55,58.65
11:30:31.956,18.08,54.25
11:30:32.067,18.57,53.76
11:30:32.179,18.08,53.76
11:30:32.290,18.08,53.76
11:30:32.402,18.08,52.3
11:30:32.513,17.6,53.27
11:30:32.624,19.55,58.65
11:30:32.735,19.55,58.65
11:30:32.846,19.55,58.65
11:30:32.956,19.55,58.16
11:30:33.068,20.04,58.16
11:30:33.179,19.55,58.65
11:30:33.291,19.55,58.16
11:30:33.401,19.55,58.65
11:30:33.513,19.55,58.16
11:30:33.624,19.55,58.65
11:30:33.734,19.55,58.65
11:30:33.846,19.55,58.16
11:30:33.956,18.08,57.18
11:30:34.068,19.06,57.67
11:30:34.178,19.55,56.7
11:30:34.289,20.04,57.18
11:30:34.400,20.04,58.65
11:30:34.511,19.55,58.16
11:30:34.622,20.04,57.67
11:30:34.734,19.55,58.65
11:30:34.846,20.04,58.65
11:30:34.958,18.57,58.16
11:30:35.069,19.06,57.18
11:30:35.181,19.55,58.65
11:30:35.294,20.04,58.16
11:30:35.406,19.55,58.16
11:30:35.517,19.06,59.14
11:30:35.628,18.57,57.67
11:30:35.739,19.06,58.16
11:30:35.850,19.06,58.16
11:30:35.961,20.04,58.16
11:30:36.072,19.55,58.65
11:30:36.183,19.55,58.65
11:30:36.295,19.55,58.65
11:30:36.406,19.55,58.65
11:30:36.517,19.55,58.65
11:30:36.630,19.55,58.16
11:30:36.741,18.57,57.67
11:30:36.852,19.06,58.16
11:30:36.963,19.55,58.65
11:30:37.074,19.06,58.65
11:30:37.185,19.55,58.65
11:30:37.296,19.55,58.65
11:30:37.407,19.55,57.67
11:30:37.518,20.04,57.67
11:30:37.630,19.06,58.16
11:30:37.740,19.06,58.65
11:30:37.851,20.04,57.67
11:30:37.962,18.57,57.67
11:30:38.073,18.57,56.21
11:30:38.184,18.08,57.67
11:30:38.295,18.57,57.18
11:30:38.407,19.55,58.16
11:30:38.517,20.04,58.16
11:30:38.628,19.55,58.16
11:30:38.739,19.55,58.65
11:30:38.850,19.06,58.16
11:30:38.962,19.06,57.67
11:30:39.072,18.57,58.65
11:30:39.184,16.62,59.63
11:30:39.294,19.55,58.16
11:30:39.406,18.57,58.16
11:30:39.517,19.06,57.67
11:30:39.627,18.57,57.67
11:30:39.739,19.06,58.65
11:30:39.850,19.06,58.16
11:30:39.962,19.55,58.16
11:30:40.073,19.55,58.65
11:30:40.184,19.06,58.65
11:30:40.296,18.08,59.14
11:30:40.407,20.04,57.67
11:30:40.518,19.55,58.16
11:30:40.629,19.55,58.16
11:30:40.740,19.55,58.65
11:30:40.853,19.55,58.65
11:30:40.964,19.55,58.65
11:30:41.075,19.55,58.16
11:30:41.186,19.55,58.16
11:30:41.297,18.57,57.67
11:30:41.410,19.55,58.65
11:30:41.521,19.55,58.65
11:30:41.633,19.55,58.65
11:30:41.745,19.55,58.65
11:30:41.857,19.55,57.67
11:30:41.969,18.57,58.16
11:30:42.079,19.55,57.67
11:30:42.190,19.06,57.67
11:30:42.302,19.06,59.14
