Sample,Value
424,0.7013019430213481
425,0.721213117448837
426,0.7407407407407407
427,0.7598482842174796
428,0.778499219199474
429,0.7966570170071444
430,0.8142851489609113
431,0.8313470863811951
432,0.8478063005884161
433,0.8636262629029949
434,0.8787704446453523
435,0.893202317135908
436,0.906885351695083
437,0.9197830196432973
438,0.931858792300972
439,0.943076140988527
440,0.9533985370263829
441,0.9627894517349601
442,0.9712123564346791
443,0.9786307224459604
444,0.9850080210892244
445,0.9903077236848914
446,0.9944933015533821
447,0.9975282260151168
448,0.9993759683905159
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,1.0
501,1.0
502,1.0
503,1.0
504,1.0
505,1.0
506,1.0
507,1.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
513,1.0
514,1.0
515,1.0
516,1.0
517,1.0
518,1.0
519,1.0
520,1.0
521,1.0
522,1.0
523,1.0
524,1.0
525,1.0
526,1.0
527,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
560,1.0
561,1.0
562,1.0
563,1.0
564,1.0
565,1.0
566,1.0
567,1.0
568,1.0
569,1.0
570,1.0
571,0.9993759683905159
572,0.9975282260151168
573,0.9944933015533821
574,0.9903077236848914
575,0.9850080210892244
576,0.9786307224459604
577,0.9712123564346791
578,0.9627894517349601
579,0.9533985370263829
580,0.943076140988527
581,0.931858792300972
582,0.9197830196432973
583,0.906885351695083
584,0.893202317135908
585,0.8787704446453523
586,0.8636262629029949
587,0.8478063005884161
588,0.8313470863811949
589,0.8142851489609113
590,0.7966570170071444
591,0.778499219199474
592,0.7598482842174795
593,0.7407407407407408
594,0.721213117448837
595,0.701301943021348
596,0.6810437461378531
597,0.6604750554779322
598,0.6396323997211644
599,0.6185523075471296
600,0.5972713076354073
601,0.5758259286655768
602,0.554252699317218
603,0.5325881482699104
604,0.5108688042032334
605,0.4891311957967665
606,0.46741185173008964
607,0.4457473006827819
608,0.4241740713344231
609,0.40272869236459274
610,0.38144769245287036
611,0.36036760027883563
612,0.33952494452206783
613,0.3189562538621469
614,0.2986980569786519
615,0.27878688255116296
616,0.2592592592592593
617,0.24015171578252037
618,0.22150078080052604
619,0.20334298299285555
620,0.18571485103908875
621,0.1686529136188049
622,0.15219369941158384
623,0.13637373709700495
624,0.12122955535464777
625,0.10679768286409203
626,0.09311464830491702
627,0.08021698035670255
628,0.06814120769902807
629,0.05692385901147304
630,0.046601462973617176
631,0.037210548265039896
632,0.028787643565320892
