V_FSR1[mV],V_FSR2[mV],FSR1_filtered,FSR2_filtered,,,,SME V1,SME V2,,Variance 1,Variance 2
19.55,57.18,19.34091022,57.32296417,,,,0.159505961,0.12537678,,,
19.06,57.67,19.22700108,57.45143922,,,,0.008211627,0.01847266,,,
19.55,58.16,19.44568877,58.45315909,,,,0.159505961,0.39176854,,,
19.55,58.65,19.58846473,58.29537941,,,,0.159505961,1.245264419,,,
19.06,57.67,19.07522749,58.06162875,,,,0.008211627,0.01847266,,,
19.55,58.65,19.50283065,58.25397003,,,,0.159505961,1.245264419,,,
19.06,56.7,19.11481256,57.06478401,,,,0.008211627,0.695699183,,,
19.06,57.18,19.01861341,56.87954367,,,,0.008211627,0.12537678,,,
19.55,57.67,19.56276568,57.87991282,,,,0.159505961,0.01847266,,,
18.57,58.16,18.59590154,58.05804827,,,,0.337117292,0.39176854,,,
19.06,58.16,18.98794077,58.14516063,,,,0.008211627,0.39176854,,,
19.55,57.67,19.67524759,57.8030366,,,,0.159505961,0.01847266,,,
19.55,58.16,19.36516044,57.91406509,,,,0.159505961,0.39176854,,,
20.04,57.67,20.28771771,58.01618279,,,,0.791000296,0.01847266,,,
19.55,57.18,19.24240576,56.75552615,,,,0.159505961,0.12537678,,,
17.11,56.21,17.46650057,56.67944718,,,,4.164121927,1.753203304,,,
19.55,57.18,19.16266632,56.71052984,,,,0.159505961,0.12537678,,,
19.55,55.72,19.94551151,56.1359016,,,,0.159505961,3.290907424,,,
19.55,57.67,19.17134111,57.36353911,,,,0.159505961,0.01847266,,,
19.55,58.16,19.88511111,58.30723322,,,,0.159505961,0.39176854,,,
20.04,57.67,19.77692319,57.71729719,,,,0.791000296,0.01847266,,,
19.55,58.16,19.71168527,57.90423949,,,,0.159505961,0.39176854,,,
20.04,58.16,20.00635429,58.61228904,,,,0.791000296,0.39176854,,,
19.55,58.16,19.43805479,57.55031523,,,,0.159505961,0.39176854,,,
19.55,56.7,19.80843401,57.40368894,,,,0.159505961,0.695699183,,,
19.55,59.14,19.16665838,58.42187488,,,,0.159505961,2.578960299,,,
18.57,57.18,19.0331354,57.82956717,,,,0.337117292,0.12537678,,,
20.04,58.16,19.56018411,57.65033896,,,,0.791000296,0.39176854,,,
17.6,57.18,18.02699093,57.50389448,,,,2.404416262,0.12537678,,,
18.57,57.67,18.25709812,57.54309977,,,,0.337117292,0.01847266,,,
18.57,58.16,18.72892511,58.11540339,,,,0.337117292,0.39176854,,,
19.06,58.65,19.06601752,58.80964909,,,,0.008211627,1.245264419,,,
20.04,58.65,19.88701415,58.44979031,,,,0.791000296,1.245264419,,,
17.6,56.7,17.8596191,56.86595464,,,,2.404416262,0.695699183,,,
18.08,57.67,17.76653236,57.59478099,,,,1.146222957,0.01847266,,,
19.06,56.7,19.37142304,56.66082226,,,,0.008211627,0.695699183,,,
18.57,56.21,18.31322483,56.34900765,,,,0.337117292,1.753203304,,,
18.08,59.14,18.23654127,58.94782689,,,,1.146222957,2.578960299,,,
19.06,58.16,19.03914702,58.34259925,,,,0.008211627,0.39176854,,,
19.55,58.16,19.41424003,58.04534557,,,,0.159505961,0.39176854,,,
19.06,57.18,19.35274654,57.19058708,,,,0.008211627,0.12537678,,,
19.06,55.72,18.63659618,55.81761567,,,,0.008211627,3.290907424,,,
